---------------------------- PROCESS STARTED (31142) for package com.example.bottleneckreader ----------------------------
2026-06-12 12:14:52.261 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  timestampNs,detected,s0,s1,s2,s3,s4,event
2026-06-12 12:14:57.913 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111902528300582,1,0.2297,1.3195,1.3184,0.0945,1.3198,
2026-06-12 12:14:57.954 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111902561625999,1,0.0832,1.3220,1.3207,-0.0469,1.3200,01101
2026-06-12 12:14:57.980 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111902594951624,1,0.1042,1.3211,1.3205,-0.0082,1.3198,
2026-06-12 12:14:58.014 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111902628277041,1,1.3220,1.3003,1.2888,1.3197,1.3193,
2026-06-12 12:14:58.048 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111902661602457,1,1.3216,1.3197,0.0448,1.3197,0.3062,
2026-06-12 12:14:58.082 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111902694928082,1,1.3228,1.3215,0.0344,1.3207,0.3369,11010
2026-06-12 12:14:58.116 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111902728253499,1,1.3230,1.3216,-0.0050,1.3211,0.2867,
2026-06-12 12:14:58.148 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111902761579124,1,1.3230,1.2986,1.3190,1.3201,0.3777,
2026-06-12 12:14:58.190 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111902794904541,1,1.3221,-0.1815,1.3206,0.1457,0.4585,
2026-06-12 12:14:58.216 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111902828229957,1,1.3230,-0.1878,1.3214,0.1112,0.4199,10100
2026-06-12 12:14:58.250 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111902861555582,1,1.3217,-0.1195,1.3211,0.1334,0.4155,
2026-06-12 12:14:58.282 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111902894880999,1,0.6077,1.3207,0.6015,0.2843,0.3775,
2026-06-12 12:14:58.314 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111902928206624,1,0.2113,1.3216,0.1745,0.3369,0.3973,
2026-06-12 12:14:58.351 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111902961532041,1,0.1395,1.3215,0.1481,0.3342,0.4076,01000
2026-06-12 12:14:58.386 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111902994857457,1,1.3359,1.3199,0.0507,1.3442,0.2746,
2026-06-12 12:14:58.414 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111903028183082,1,1.3203,0.2767,0.2450,1.3203,0.2200,
2026-06-12 12:14:58.456 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111903061508499,1,1.3209,0.1334,0.2301,1.3204,0.2171,10010
2026-06-12 12:14:58.480 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111903094834124,1,1.3208,0.0970,0.1927,1.3204,0.2196,
2026-06-12 12:14:58.512 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111903128159541,1,1.3202,0.1181,0.1671,1.3198,0.1946,
2026-06-12 12:14:58.546 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111903161484957,1,1.3201,0.1307,0.1899,1.3197,0.2140,
2026-06-12 12:14:58.585 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111903194810582,1,1.3193,0.1053,0.1768,1.3194,0.1737,
2026-06-12 12:14:58.616 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111903228135999,1,1.3190,0.1112,0.2240,1.3185,0.1843,
2026-06-12 12:14:58.654 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111903261461624,1,0.5836,1.3200,-0.0059,1.3203,0.1793,
2026-06-12 12:14:58.685 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111903294787041,1,1.3204,1.2925,1.3002,1.2787,1.3187,
2026-06-12 12:14:58.719 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111903328112457,1,1.3215,-0.1189,1.3198,-0.0604,1.3195,
